#Time (us) ; Current (mA) ; Voltage (V) ; PC ; IRQ 
1547243112 ; 0.0447346 ; 3.29796 ; 0 ; 0
1547367112 ; 0.0458103 ; 3.29811 ; 0 ; 0
1547491112 ; 0.0469319 ; 3.29811 ; 0 ; 0
1547620112 ; 0.0481182 ; 3.29803 ; 0 ; 0
1547745112 ; 0.0468479 ; 3.30139 ; 0 ; 0
1547874112 ; 0.0469738 ; 3.29842 ; 0 ; 0
1548005112 ; 0.0485112 ; 3.29796 ; 0 ; 0
1548129112 ; 0.0428692 ; 3.29842 ; 0 ; 0
1548259112 ; 0.0417362 ; 3.29811 ; 0 ; 0
1548383112 ; 0.0432011 ; 3.29834 ; 0 ; 0
1548509112 ; 0.0472523 ; 3.29811 ; 0 ; 0
1548638112 ; 0.0420452 ; 3.29834 ; 0 ; 0
1548762112 ; 0.0451313 ; 3.29857 ; 0 ; 0
1548896112 ; 2.91111 ; 3.29987 ; 0 ; 0
1549021112 ; 2.80276 ; 3.29842 ; 0 ; 0
1549150112 ; 2.76867 ; 3.29819 ; 0 ; 0
1549276112 ; 2.76867 ; 3.30048 ; 0 ; 0
1549400112 ; 2.78328 ; 3.29819 ; 0 ; 0
1549529112 ; 2.7918 ; 3.29834 ; 0 ; 0
1549658112 ; 2.76623 ; 3.29819 ; 0 ; 0
1549789112 ; 2.82345 ; 3.29857 ; 0 ; 0
1549918112 ; 2.7845 ; 3.30009 ; 0 ; 0
1550048112 ; 2.87459 ; 3.3007 ; 0 ; 0
1550173112 ; 2.82711 ; 3.29872 ; 0 ; 0
1550304112 ; 2.80397 ; 3.29857 ; 0 ; 0
1550435112 ; 2.81493 ; 3.29796 ; 0 ; 0
1550564112 ; 2.80032 ; 3.29796 ; 0 ; 0
1550689112 ; 2.84415 ; 3.29865 ; 0 ; 0
1550813112 ; 2.80276 ; 3.29811 ; 0 ; 0
1550939112 ; 2.82711 ; 3.29842 ; 0 ; 0
1551063112 ; 2.81737 ; 3.30055 ; 0 ; 0
1551196112 ; 2.77232 ; 3.29834 ; 0 ; 0
1551319112 ; 2.83441 ; 3.29803 ; 0 ; 0
1551443112 ; 2.82467 ; 3.29826 ; 0 ; 0
1551571112 ; 2.83198 ; 3.29834 ; 0 ; 0
1551696112 ; 2.82224 ; 3.29803 ; 0 ; 0
1551827112 ; 2.76989 ; 3.29834 ; 0 ; 0
1551951112 ; 2.83563 ; 3.29803 ; 0 ; 0
1552075112 ; 2.7638 ; 3.29796 ; 0 ; 0
1552204112 ; 2.80641 ; 3.3004 ; 0 ; 0
1552333112 ; 2.79423 ; 3.29819 ; 0 ; 0
1552462112 ; 2.83806 ; 3.29803 ; 0 ; 0
1552590112 ; 2.76989 ; 3.29834 ; 0 ; 0
1552721112 ; 2.81615 ; 3.29941 ; 0 ; 0
1552844112 ; 2.83319 ; 3.30017 ; 0 ; 0
1552973112 ; 2.79545 ; 3.29811 ; 0 ; 0
1553100112 ; 2.82345 ; 3.30002 ; 0 ; 0
1553230112 ; 2.81858 ; 3.29819 ; 0 ; 0
1553355112 ; 2.82832 ; 3.29811 ; 0 ; 0
1553484112 ; 2.78084 ; 3.30055 ; 0 ; 0
1553619112 ; 2.79545 ; 3.29811 ; 0 ; 0
1553743112 ; 2.77841 ; 3.29819 ; 0 ; 0
1553870112 ; 2.85267 ; 3.29811 ; 0 ; 0
1553994112 ; 2.84415 ; 3.29834 ; 0 ; 0
1554122112 ; 2.82711 ; 3.29834 ; 0 ; 0
1554251112 ; 2.80032 ; 3.29826 ; 0 ; 0
1554380112 ; 2.8478 ; 3.30048 ; 0 ; 0
1554505112 ; 2.85267 ; 3.29819 ; 0 ; 0
1554629112 ; 2.83441 ; 3.29811 ; 0 ; 0
1554759112 ; 2.76015 ; 3.30063 ; 0 ; 0
1554884112 ; 2.7991 ; 3.29811 ; 0 ; 0
1555015112 ; 2.7845 ; 3.30139 ; 0 ; 0
1555141112 ; 2.82711 ; 3.29826 ; 0 ; 0
1555270112 ; 0.348364 ; 3.29765 ; 0 ; 0
1555396112 ; 0.339842 ; 3.29788 ; 0 ; 0
1555525112 ; 0.342277 ; 3.29788 ; 0 ; 0
1555654112 ; 0.360539 ; 3.29781 ; 0 ; 0
1555789112 ; 0.342277 ; 3.29773 ; 0 ; 0
1555918112 ; 0.338625 ; 3.29796 ; 0 ; 0
1556042112 ; 0.338625 ; 3.29788 ; 0 ; 0